Date,Close,Open,High,Low,Volume
26/05/16,309.83,304.88,313.78,304.88,12892426.00
27/05/16,314.02,310.59,316.31,309.21,4404479.00
30/05/16,307.11,316.36,318.79,306.26,6618099.00
31/05/16,318.55,309.16,321.55,305.11,10042011.00
01/06/16,316.45,320.02,323.55,313.83,6483031.00
02/06/16,324.55,316.31,325.74,314.74,5572983.00
03/06/16,322.55,327.74,331.84,320.50,8832388.00
06/06/16,321.88,319.17,324.60,316.45,4969784.00
07/06/16,326.41,323.50,327.60,321.12,3898620.00
08/06/16,325.36,327.03,330.08,322.50,4466650.00
09/06/16,325.88,323.93,330.31,323.93,5935910.00
10/06/16,318.60,325.84,328.22,317.74,5506426.00
13/06/16,307.83,312.78,314.36,305.83,6576686.00
14/06/16,309.59,309.64,311.97,306.11,4008566.00
15/06/16,314.64,310.69,315.83,308.50,4134184.00
16/06/16,314.88,313.93,317.74,308.78,6490905.00
17/06/16,310.07,317.26,317.74,308.50,5702881.00
20/06/16,320.36,309.07,321.02,307.54,6200742.00
21/06/16,318.26,320.12,321.74,317.02,3490952.00
22/06/16,316.74,318.21,318.21,311.59,4627091.00
23/06/16,318.17,315.83,320.07,312.12,4684494.00
24/06/16,297.87,292.59,301.45,282.30,14410710.00
27/06/16,295.82,295.11,297.78,292.97,6579079.00
28/06/16,296.78,296.73,299.54,292.49,7926086.00
29/06/16,298.78,299.16,302.02,297.83,5616012.00
30/06/16,306.73,300.78,308.93,300.30,6392234.00
01/07/16,312.59,311.07,315.26,310.97,4994251.00
04/07/16,315.59,313.16,318.12,312.45,3232796.00
05/07/16,317.88,316.79,321.45,314.64,3943390.00
07/07/16,302.68,318.40,321.31,301.35,10126780.00
08/07/16,303.30,300.06,304.30,297.35,7764479.00
11/07/16,311.55,309.64,314.12,304.54,7692459.00
12/07/16,326.12,314.36,327.60,313.45,9886586.00
13/07/16,340.84,328.41,341.70,328.03,13345822.00
14/07/16,342.32,341.84,344.27,336.65,7970875.00
15/07/16,355.28,342.32,356.70,339.89,13431169.00
18/07/16,348.37,355.80,361.47,346.32,7697416.00
19/07/16,352.75,350.56,354.08,345.22,8246048.00
20/07/16,351.04,354.61,355.37,349.08,5907217.00
21/07/16,345.18,352.51,352.51,344.03,5343359.00
22/07/16,348.18,345.18,351.46,339.60,7372910.00
25/07/16,346.46,347.75,350.42,345.03,5676435.00
26/07/16,350.42,346.70,357.28,345.89,7798763.00
27/07/16,345.89,351.46,352.99,337.36,10359001.00
28/07/16,333.32,341.08,342.22,332.17,10526709.00
29/07/16,338.27,334.46,342.03,334.46,8349227.00
01/08/16,347.61,339.32,349.27,337.51,10082335.00
02/08/16,344.75,349.13,353.18,343.08,8108008.00
03/08/16,341.13,347.42,349.13,338.13,5746762.00
04/08/16,356.13,343.37,357.18,340.51,9639368.00
05/08/16,363.66,360.13,364.90,358.71,9117890.00
08/08/16,361.61,364.33,366.33,358.47,6662412.00
09/08/16,357.61,361.09,364.37,355.94,5618546.00
10/08/16,352.80,360.04,361.47,350.75,4594009.00
11/08/16,350.94,352.80,355.94,344.41,4419528.00
12/08/16,357.04,352.51,360.47,351.89,4411019.00
16/08/16,361.23,357.28,362.99,355.42,6104127.00
17/08/16,373.33,361.99,374.38,361.99,9353131.00
18/08/16,368.90,373.95,375.28,366.90,5920398.00
19/08/16,373.62,370.76,376.00,365.37,8947214.00
22/08/16,369.80,373.00,373.00,366.33,5563430.00
23/08/16,366.95,369.61,372.52,360.28,6720835.00
24/08/16,361.99,367.38,369.00,360.85,4261868.00
25/08/16,354.70,363.66,364.23,352.99,4773691.00
26/08/16,351.99,357.28,358.18,349.94,4311789.00
29/08/16,356.09,351.46,357.71,350.37,3718240.00
30/08/16,359.90,357.61,361.56,357.28,3804436.00
31/08/16,352.61,360.13,363.33,351.37,4530361.00
01/09/16,356.90,353.75,359.85,352.04,4453409.00
02/09/16,356.51,358.18,358.42,352.89,2824297.00
06/09/16,367.52,357.28,368.47,356.70,5828507.00
07/09/16,371.52,368.80,375.52,368.33,6965026.00
08/09/16,383.95,371.81,389.29,371.81,11234744.00
09/09/16,375.95,385.76,387.67,374.66,5962851.00
12/09/16,355.66,366.80,367.66,353.08,6717365.00
14/09/16,356.23,352.51,360.13,345.99,11105369.00
15/09/16,349.08,356.32,357.37,346.56,4875040.00
16/09/16,341.89,352.04,354.32,340.70,6075750.00
19/09/16,344.56,342.99,346.75,338.51,5121611.00
20/09/16,348.32,347.08,352.51,342.27,5697810.00
21/09/16,352.32,348.03,354.89,348.03,6868967.00
22/09/16,359.42,359.85,361.85,355.18,6669414.00
23/09/16,354.42,359.52,360.52,353.47,4461871.00
26/09/16,352.27,353.80,358.75,350.99,4351638.00
27/09/16,350.56,354.99,356.90,349.27,4403977.00
28/09/16,362.37,350.85,364.14,350.85,6338968.00
29/09/16,351.37,365.23,365.71,347.75,13361086.00
30/09/16,356.56,350.46,359.61,346.13,5506157.00
03/10/16,364.76,359.09,366.61,358.51,4480810.00
04/10/16,372.66,367.76,374.43,364.33,8523432.00
05/10/16,372.23,376.52,377.76,370.61,5154852.00
06/10/16,371.42,374.24,377.14,368.28,7730432.00
07/10/16,387.34,374.33,388.34,371.76,11610384.00
10/10/16,398.63,390.53,400.82,389.67,11642373.00
13/10/16,394.24,394.43,400.53,389.48,11106052.00
14/10/16,392.81,396.34,397.77,390.15,5275390.00
17/10/16,391.38,392.72,396.15,388.34,6712935.00
18/10/16,404.87,394.81,406.34,392.62,7584884.00
19/10/16,405.87,405.87,407.53,401.29,4973722.00
20/10/16,408.30,407.53,411.49,405.15,5062646.00
21/10/16,407.01,406.82,408.20,401.77,4124680.00
24/10/16,405.91,407.25,411.01,404.91,2881988.00
25/10/16,395.62,390.62,399.39,389.05,8696996.00
26/10/16,379.76,394.77,399.01,372.42,8302477.00
27/10/16,378.38,369.66,381.09,365.23,13709731.00
28/10/16,386.29,379.90,387.29,378.57,6788166.00
01/11/16,397.96,385.72,403.91,382.14,9473737.00
02/11/16,393.81,386.81,396.72,386.81,7410152.00
03/11/16,384.24,391.57,399.86,379.81,8494155.00
04/11/16,384.05,384.81,388.34,379.43,5096305.00
07/11/16,393.10,387.10,395.72,387.10,4516324.00
08/11/16,389.34,394.43,395.77,386.33,3253417.00
09/11/16,380.48,362.04,384.81,359.18,5912250.00
10/11/16,416.35,388.67,418.54,388.67,10898034.00
11/11/16,406.34,412.06,420.63,403.96,8733209.00
15/11/16,374.47,392.05,398.24,372.52,9253517.00
16/11/16,374.19,378.24,382.43,362.85,8230718.00
17/11/16,374.19,374.90,379.76,368.71,4361763.00
18/11/16,366.90,371.62,392.91,363.23,4660147.00
21/11/16,353.89,367.23,371.19,348.99,6566271.00
22/11/16,360.18,358.90,361.75,355.18,4143438.00
23/11/16,374.14,362.99,376.14,362.09,5124218.00
24/11/16,379.33,368.76,381.76,367.38,7117077.00
25/11/16,389.43,380.14,393.96,378.71,7090491.00
28/11/16,387.38,388.62,392.24,383.43,4679209.00
29/11/16,389.62,395.39,397.86,388.53,6015315.00
30/11/16,395.43,390.34,396.34,385.19,5378415.00
01/12/16,390.24,397.62,398.72,388.48,3073859.00
02/12/16,387.19,386.67,392.43,385.29,3623139.00
05/12/16,393.96,388.34,395.00,385.43,3500112.00
06/12/16,398.67,394.43,400.82,392.53,3883470.00
07/12/16,392.43,399.48,401.48,389.38,4700356.00
08/12/16,410.92,397.96,412.30,397.29,9445695.00
09/12/16,410.20,412.25,414.77,408.15,4094532.00
12/12/16,404.15,408.63,410.11,403.15,2491598.00
13/12/16,401.20,408.68,408.68,397.77,3195158.00
14/12/16,398.01,402.06,406.06,397.05,3247269.00
15/12/16,399.48,395.96,407.20,393.34,4454182.00
16/12/16,394.48,402.82,402.82,393.00,3547889.00
19/12/16,390.96,391.57,396.62,389.76,2347383.00
20/12/16,384.43,392.34,394.43,382.14,3541080.00
21/12/16,385.38,385.86,389.00,382.43,2747302.00
22/12/16,373.66,385.38,386.67,371.81,4084454.00
23/12/16,372.38,374.90,376.86,368.76,3992131.00
26/12/16,362.14,370.14,371.19,360.61,3232118.00
27/12/16,373.85,363.95,376.05,359.52,3894041.00
28/12/16,370.09,374.76,375.14,368.23,3940185.00
29/12/16,373.81,370.14,375.28,368.95,3422017.00
30/12/16,372.76,374.43,376.71,369.76,3055022.00
02/01/17,387.53,374.85,389.05,370.52,5578129.00
03/01/17,384.24,387.81,389.57,382.29,3338806.00
04/01/17,386.29,385.00,389.67,382.43,3344043.00
05/01/17,399.48,389.76,402.53,388.05,7196279.00
06/01/17,399.72,400.63,405.29,395.96,4138078.00
09/01/17,402.06,403.67,404.15,399.53,3122769.00
10/01/17,411.49,402.72,412.06,402.63,5118565.00
11/01/17,427.06,414.73,429.64,414.11,11431250.00
12/01/17,426.40,427.78,429.83,422.30,5361474.00
13/01/17,425.25,428.73,429.11,420.35,4232151.00
16/01/17,436.78,423.25,437.78,422.30,6675950.00
17/01/17,432.78,437.35,437.88,429.59,3342717.00
18/01/17,446.21,433.26,447.79,432.78,9116932.00
19/01/17,445.07,446.55,446.64,440.50,3445069.00
20/01/17,433.02,443.98,445.69,431.21,4927321.00
23/01/17,439.97,429.59,442.07,429.30,4349975.00
24/01/17,442.31,440.16,444.45,436.88,3731789.00
25/01/17,447.31,444.93,454.22,444.07,6307571.00
27/01/17,447.12,447.64,451.41,441.45,4977414.00
30/01/17,440.21,446.36,446.36,438.40,3322749.00
31/01/17,441.16,438.45,449.12,438.35,4543771.00
01/02/17,452.17,442.12,453.41,435.54,5572616.00
02/02/17,454.41,451.12,458.17,444.21,5988117.00
03/02/17,450.45,454.36,457.31,446.02,5284757.00
06/02/17,451.03,451.98,455.03,446.98,4806869.00
07/02/17,450.45,452.65,457.12,447.83,4836631.00
08/02/17,448.41,462.08,462.46,445.36,11287445.00
09/02/17,438.12,447.45,451.03,434.92,6485765.00
10/02/17,446.07,444.93,449.50,438.78,7912091.00
13/02/17,450.26,450.79,454.46,447.88,4898780.00
14/02/17,450.07,451.50,452.41,444.07,3251700.00
15/02/17,438.35,450.36,452.31,435.64,4228709.00
16/02/17,447.74,442.74,449.22,434.11,4820369.00
17/02/17,446.07,449.98,452.41,444.59,3922122.00
20/02/17,464.03,445.88,465.89,442.78,8441156.00
21/02/17,467.75,465.84,472.46,462.08,8063716.00
22/02/17,461.17,467.27,468.22,457.89,5010536.00
23/02/17,462.79,462.17,464.84,455.55,4810464.00
27/02/17,457.89,462.27,465.08,456.84,2730887.00
28/02/17,459.89,458.74,462.79,457.74,3402886.00
01/03/17,476.70,462.08,478.75,460.55,7716571.00
02/03/17,471.27,478.27,481.70,468.98,5722550.00
03/03/17,471.70,471.18,474.22,466.41,3357902.00
06/03/17,469.41,471.70,477.32,467.08,4153429.00
07/03/17,459.22,470.18,470.65,457.93,5123193.00
08/03/17,450.12,461.98,463.41,447.88,5935312.00
09/03/17,447.26,449.60,452.88,445.60,4495787.00
10/03/17,445.64,446.36,451.98,440.36,4523612.00
14/03/17,450.22,456.36,456.36,448.22,5565574.00
15/03/17,456.41,451.55,457.31,448.17,5561866.00
16/03/17,476.04,461.93,477.32,459.17,10391757.00
17/03/17,478.46,480.04,484.70,474.56,6800312.00
20/03/17,473.18,478.75,478.94,468.75,3995540.00
21/03/17,472.94,473.42,477.61,469.08,4967685.00
22/03/17,465.03,466.84,470.46,463.41,4652350.00
23/03/17,472.08,464.46,473.13,464.46,4126938.00
24/03/17,469.89,472.61,476.27,467.89,3082110.00
27/03/17,453.98,469.46,469.46,452.22,6189956.00
28/03/17,457.50,454.98,459.84,454.46,4396544.00
29/03/17,461.51,459.22,461.98,457.55,3264312.00
30/03/17,454.93,461.51,463.36,453.31,4642454.00
31/03/17,459.89,457.93,462.93,456.41,3215307.00
03/04/17,462.89,463.03,466.75,459.98,3140253.00
05/04/17,469.99,464.94,474.65,463.65,4919654.00
06/04/17,477.94,470.37,480.56,461.08,5058885.00
07/04/17,469.89,477.23,482.42,467.46,5379967.00
10/04/17,471.94,473.51,475.23,467.22,2992630.00
11/04/17,465.03,472.08,472.56,463.32,4084688.00
12/04/17,454.84,467.22,469.27,453.50,5007724.00
13/04/17,441.64,451.98,456.55,440.36,5907485.00
17/04/17,440.55,438.35,445.79,438.02,3787898.00
18/04/17,428.64,445.02,451.60,426.83,7307227.00
19/04/17,429.45,426.83,433.97,421.16,9427124.00
20/04/17,432.92,429.45,434.26,427.06,4022665.00
21/04/17,429.54,438.26,438.93,427.87,4643978.00
24/04/17,429.40,430.64,433.11,425.97,4956153.00
25/04/17,433.16,431.97,436.26,429.97,4250166.00
26/04/17,432.35,435.31,441.40,429.49,4674438.00
27/04/17,424.78,432.54,433.35,423.02,6189923.00
28/04/17,428.02,426.83,437.02,424.78,6256122.00
02/05/17,424.02,429.68,432.54,422.44,4689154.00
03/05/17,419.97,426.16,428.68,416.87,5008822.00
04/05/17,421.54,425.87,426.83,415.49,6535720.00
05/05/17,413.11,420.63,420.63,407.77,5701881.00
08/05/17,411.49,413.49,415.77,407.87,5515622.00
09/05/17,413.01,411.58,419.20,410.87,4738911.00
10/05/17,416.77,414.68,417.82,412.63,3539929.00
11/05/17,420.30,419.87,424.35,418.92,5533078.00
12/05/17,416.06,421.49,422.92,412.15,5796510.00
15/05/17,434.50,417.30,435.31,417.11,9754791.00
16/05/17,434.97,441.16,442.07,433.83,10298954.00
17/05/17,470.56,447.79,475.42,443.78,49407351.00
18/05/17,463.27,465.08,473.18,460.74,13370374.00
19/05/17,466.36,466.84,472.56,457.55,9075025.00
22/05/17,463.41,469.56,473.46,461.46,6222549.00
23/05/17,467.22,465.94,473.37,455.03,9779642.00
24/05/17,460.51,469.22,471.60,458.74,7240413.00
25/05/17,461.79,462.08,464.03,454.17,6461254.00
26/05/17,487.56,463.89,490.52,462.70,16240203.00
29/05/17,483.70,487.90,496.04,482.23,6772389.00
30/05/17,487.66,484.37,489.71,480.42,4082146.00
31/05/17,480.85,486.04,490.66,478.75,4365325.00
01/06/17,473.65,480.85,483.94,470.65,3886388.00
02/06/17,468.70,478.23,479.42,464.98,5681201.00
05/06/17,468.08,469.70,476.27,463.98,4742679.00
06/06/17,467.13,470.56,473.03,465.36,4123554.00
07/06/17,467.65,468.51,470.99,463.98,3287207.00
08/06/17,475.42,479.23,487.23,474.08,11928366.00
09/06/17,483.09,474.84,484.32,472.41,6332939.00
12/06/17,484.37,483.70,489.90,481.61,5283279.00
13/06/17,484.56,484.94,488.66,481.61,5965585.00
14/06/17,478.89,483.99,485.66,477.46,4696131.00
15/06/17,478.80,477.13,482.56,475.65,4078026.00
16/06/17,478.23,480.18,483.70,477.46,3424915.00
19/06/17,494.99,486.18,495.99,483.51,9593934.00
20/06/17,497.66,499.23,500.81,495.90,5911795.00
21/06/17,493.18,496.66,498.90,491.33,4260883.00
22/06/17,490.66,496.38,497.66,487.80,3812931.00
23/06/17,483.28,489.61,489.61,478.94,3995573.00
27/06/17,486.75,485.90,489.52,479.99,4546092.00
28/06/17,495.99,487.80,498.14,485.32,6896090.00
29/06/17,509.76,500.09,511.24,497.38,9651954.00
30/06/17,519.96,509.19,522.00,505.00,8469286.00
03/07/17,524.58,519.72,527.20,516.43,6447865.00
04/07/17,521.67,525.05,528.34,518.67,5039815.00
05/07/17,523.96,518.67,526.39,518.29,4725845.00
06/07/17,528.44,524.01,531.15,523.05,6506592.00
07/07/17,527.20,526.86,528.67,524.86,4100041.00
10/07/17,532.91,532.48,535.06,523.15,1089492.00
11/07/17,530.53,533.91,535.39,528.96,4912769.00
12/07/17,532.68,533.53,534.68,528.77,4061003.00
13/07/17,537.30,538.30,539.25,533.72,4252470.00
14/07/17,532.01,538.20,538.20,530.44,4677703.00
17/07/17,533.34,535.53,537.11,530.77,2460456.00
18/07/17,536.68,531.20,542.11,530.67,3442296.00
19/07/17,544.20,537.34,545.30,536.72,3285956.00
20/07/17,530.87,535.72,537.11,529.96,3260506.00
21/07/17,527.10,531.63,531.67,517.96,3295008.00
24/07/17,522.58,528.20,528.20,521.48,2160449.00
25/07/17,526.82,522.96,527.86,522.81,2840175.00
26/07/17,539.01,528.77,541.11,527.91,7087415.00
27/07/17,534.72,540.15,541.68,531.72,4019198.00
28/07/17,525.82,534.29,534.29,522.53,2411689.00
31/07/17,540.30,527.10,544.39,527.10,5624650.00
01/08/17,545.35,542.77,548.06,541.73,5091142.00
02/08/17,542.35,545.92,546.68,538.77,2987644.00
03/08/17,532.87,540.20,541.49,531.20,3286455.00
04/08/17,548.63,532.96,553.35,532.87,3363291.00
07/08/17,571.69,557.35,573.21,556.40,11012930.00
08/08/17,587.31,581.41,595.94,577.36,20046119.00
09/08/17,576.45,586.89,591.08,574.02,5202611.00
10/08/17,575.79,576.22,585.65,569.78,7684041.00
11/08/17,568.55,571.64,577.31,563.31,8579300.00
14/08/17,594.27,578.69,596.03,576.41,8555920.00
16/08/17,601.37,595.46,602.75,591.13,7330341.00
17/08/17,595.84,600.32,606.89,594.60,4616610.00
18/08/17,596.08,593.03,599.03,590.79,3386205.00
21/08/17,592.17,602.99,608.47,589.84,4175647.00
22/08/17,590.32,600.18,600.18,585.36,3690708.00
23/08/17,604.61,594.51,606.37,587.36,3918843.00
24/08/17,608.80,605.94,610.28,600.80,4909312.00
28/08/17,605.80,609.89,612.51,601.94,3565779.00
29/08/17,600.41,605.46,610.18,598.27,3443278.00
30/08/17,608.47,604.99,611.09,604.13,3524171.00
31/08/17,607.89,606.85,612.61,602.32,6514220.00
01/09/17,620.42,609.70,621.90,608.85,6152375.00
04/09/17,615.99,620.23,620.90,611.18,2411324.00
05/09/17,621.28,617.04,623.52,616.66,3168850.00
06/09/17,622.14,616.52,625.09,614.99,2726474.00
07/09/17,621.95,625.95,625.95,619.56,2504395.00
08/09/17,624.42,623.19,632.33,621.04,4712247.00
11/09/17,631.28,625.95,632.47,621.76,3208849.00
12/09/17,650.62,643.10,660.25,642.62,10312267.00
13/09/17,647.53,649.53,651.48,643.72,2353272.00
14/09/17,645.67,647.38,651.34,640.33,1906013.00
15/09/17,646.86,644.05,649.20,639.81,3241869.00
18/09/17,641.10,644.05,650.72,639.38,2293247.00
19/09/17,644.43,641.86,649.15,641.19,3708821.00
20/09/17,655.15,644.24,659.10,642.57,8780970.00
21/09/17,654.63,661.01,663.34,649.00,6132440.00
22/09/17,623.09,651.67,651.67,620.23,4418928.00
25/09/17,609.51,624.04,624.23,593.65,7063975.00
26/09/17,623.19,612.13,625.95,608.66,3948737.00
27/09/17,618.66,628.81,628.81,612.66,4959812.00
28/09/17,618.99,622.04,625.47,612.28,6579011.00
29/09/17,621.71,623.85,625.95,619.33,2838861.00
03/10/17,629.57,625.47,634.43,625.47,2849961.00
04/10/17,627.85,629.19,631.24,623.52,2784555.00
05/10/17,629.76,626.90,633.90,626.38,1552614.00
06/10/17,658.77,633.81,661.01,633.62,9464812.00
09/10/17,664.30,660.25,671.11,658.91,5619102.00
10/10/17,658.15,667.82,670.87,652.72,4197902.00
11/10/17,650.05,661.68,665.77,641.48,4191994.00
12/10/17,658.91,655.48,661.01,649.20,4524341.00
13/10/17,677.25,664.58,683.54,662.15,9628769.00
16/10/17,681.16,679.49,685.49,678.02,4213048.00
17/10/17,678.83,681.16,684.26,674.97,2801245.00
18/10/17,676.06,682.02,683.87,673.68,3401417.00
19/10/17,672.16,675.35,677.40,669.68,410438.00
23/10/17,678.35,673.20,680.59,672.35,2719954.00
24/10/17,685.30,682.83,693.88,680.30,4555003.00
25/10/17,683.68,687.92,692.35,675.97,3164905.00
26/10/17,694.74,683.78,698.17,681.97,5666479.00
27/10/17,692.45,698.26,700.02,688.45,2777068.00
30/10/17,684.30,695.40,700.26,679.44,5046825.00
31/10/17,670.54,689.78,695.31,664.25,13545468.00
01/11/17,673.87,679.83,683.11,670.35,5458694.00
02/11/17,672.73,675.44,675.44,664.53,3183542.00
03/11/17,675.40,674.54,679.35,670.39,3287588.00
06/11/17,673.39,671.63,682.11,666.25,3942823.00
07/11/17,660.44,676.35,679.44,653.91,4457296.00
08/11/17,660.39,662.34,667.39,651.72,3590520.00
09/11/17,670.16,665.96,671.73,660.72,2542062.00
10/11/17,669.06,667.49,675.20,662.82,2893175.00
13/11/17,658.39,670.25,671.16,654.63,3238473.00
14/11/17,653.10,656.91,662.25,649.48,3691525.00
15/11/17,645.72,646.91,649.29,637.62,4298026.00
16/11/17,653.91,650.62,656.91,644.24,2465499.00
17/11/17,668.06,661.20,675.78,661.20,4032997.00
20/11/17,668.96,664.92,674.44,657.53,3289271.00
21/11/17,677.73,670.63,684.54,668.82,3657310.00
22/11/17,677.44,679.73,683.11,672.92,2272083.00
23/11/17,679.02,679.68,682.64,673.73,3683121.00
24/11/17,674.97,678.40,679.11,670.01,1925192.00
27/11/17,669.35,675.49,675.49,666.01,1865394.00
28/11/17,670.58,668.63,679.21,664.20,2544179.00
29/11/17,675.78,669.01,677.40,669.01,3056846.00
30/11/17,661.34,671.68,673.59,657.39,3990140.00
01/12/17,648.72,662.06,664.92,645.00,3941877.00
04/12/17,655.29,652.72,660.15,648.34,2322372.00
05/12/17,643.76,652.62,653.15,639.29,3329151.00
06/12/17,636.05,635.48,639.72,629.47,4266074.00
07/12/17,655.48,638.33,657.39,638.33,4021709.00
08/12/17,664.82,656.53,680.11,652.77,7508259.00
11/12/17,666.49,665.73,673.16,661.82,2207461.00
12/12/17,657.25,665.77,674.63,653.67,3980084.00
13/12/17,648.67,659.20,660.39,643.91,3661881.00
14/12/17,653.34,652.62,656.20,639.38,3143882.00
15/12/17,661.87,663.11,667.73,658.39,3158329.00
18/12/17,671.39,656.53,681.02,642.14,5093828.00
19/12/17,676.63,675.49,678.35,671.87,2035138.00
20/12/17,669.58,683.02,683.02,659.25,7388281.00
21/12/17,680.83,669.58,683.35,667.87,4801665.00
22/12/17,677.59,682.92,682.92,673.68,3322839.00
26/12/17,687.54,680.25,690.73,678.35,6011430.00
27/12/17,689.26,687.64,695.12,683.97,3611513.00
28/12/17,701.45,690.78,704.55,690.35,11572648.00
29/12/17,697.78,703.12,709.65,695.50,2816505.00
01/01/18,688.07,697.88,700.64,685.49,1833942.00
02/01/18,694.83,689.78,696.69,681.45,2467294.00
03/01/18,700.21,697.40,702.64,696.69,2634779.00
04/01/18,724.32,701.69,727.37,697.40,8082986.00
05/01/18,734.27,727.89,740.18,726.46,7136203.00
08/01/18,732.42,740.99,741.09,728.84,2584335.00
09/01/18,735.80,733.61,743.94,730.75,3197787.00
10/01/18,736.32,734.80,740.28,726.84,2990882.00
11/01/18,734.51,736.32,741.13,732.04,1934937.00
12/01/18,733.85,734.75,740.09,724.13,2169940.00
15/01/18,746.47,735.51,755.52,734.56,4171663.00
16/01/18,729.56,745.75,745.75,724.18,2791328.00
17/01/18,737.42,731.70,741.18,721.22,2988170.00
18/01/18,716.22,738.37,742.99,710.93,4616814.00
19/01/18,717.41,716.93,725.99,707.41,3217972.00
22/01/18,716.65,716.46,720.65,712.03,3605727.00
23/01/18,742.90,716.46,749.90,716.46,8036841.00
24/01/18,726.08,743.61,743.71,721.36,4935129.00
